0000 | ILLEGAL OPCODE
007A | b'FF*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
007B | b'00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
007C | b'*** BREAK INTO MONITOR AT $007D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF6 [7E00FAFE0F104CF216F00000]\nReady.\n> '
007D | b'*** BREAK INTO MONITOR AT $007D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [7E000F104CF216F000000000]\nReady.\n> '
007E | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0002 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
007F | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0080 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0081 | b'*** BREAK INTO MONITOR AT $0082 ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [83000F104CF216F000000000]\nReady.\n> '
0082 | b'*** BREAK INTO MONITOR AT $0082 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [83000F104CF216F000000000]\nReady.\n> '
0083 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0084 | b'*** BREAK INTO MONITOR AT $0084 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [85000F104CF216F000000000]\nReady.\n> '
0085 | b'*** BREAK INTO MONITOR AT $0088 ***\nR0=$409A R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [89000F104CF216F000000000]\nReady.\n> '
0086 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
